연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만
2023,서울특별시 중구,215.1,55.3,226.5,66.1,1802.9,507.8,194.5,49.8,121312.0,5,5,4.121603798470061
2023,서울특별시 중랑구,68.7,17.4,566.6,160.0,493.3,132.4,52.7,13.4,382155.0,11,10,2.6167392811817196
2023,세종특별자치시 세종시,2057.2,524.2,672.8,178.3,919.1,248.5,1820.1,464.3,386525.0,27,27,6.985317896643166
2023,울산광역시 남구,14164.9,3550.8,492.6,135.7,784.4,215.5,13232.8,3319.0,307232.0,19,19,6.18425164045412
2023,울산광역시 동구,1086.1,300.0,227.5,60.8,235.8,63.5,1052.9,291.0,152287.0,26,24,15.759716850420588
2023,울산광역시 북구,1789.8,489.9,333.7,91.0,359.5,98.4,1735.5,475.4,216477.0,4,4,1.847771356772313
2023,울산광역시 울주군,10377.1,2624.4,338.9,90.6,505.0,131.0,9992.1,2499.3,218997.0,16,16,7.306036155746426
2023,울산광역시 중구,30.0,8.2,318.1,86.0,337.0,91.8,10.8,2.9,208668.0,3,3,1.4376904939904538
2023,인천광역시 강화군,112.2,26.9,94.6,23.5,214.6,50.0,93.8,22.2,69005.0,11,11,15.940873849721035
2023,인천광역시 계양구,389.0,100.4,423.7,118.1,465.2,124.6,269.9,69.2,280266.0,13,13,4.638450614773109
2023,인천광역시 남동구,2043.4,505.0,812.8,225.1,993.1,268.8,1913.3,471.2,492415.0,17,16,3.249291755937573
2023,인천광역시 동구,3187.7,794.5,93.4,26.0,109.7,27.6,3148.8,785.0,59482.0,1,1,1.6811808614370733
2023,인천광역시 미추홀구,407.3,101.0,672.4,187.4,684.1,180.2,316.4,77.6,405995.0,15,14,3.448318329043461
2023,인천광역시 부평구,691.4,178.3,790.8,221.5,818.4,218.7,605.9,154.9,494138.0,15,15,3.0355892483476277
2023,인천광역시 서구,3674.0,919.6,1066.0,302.9,1350.4,356.7,3225.7,802.6,624358.0,22,22,3.523619461911275
2023,인천광역시 연수구,1376.9,377.0,749.2,216.8,916.9,257.5,881.5,251.0,392416.0,7,7,1.7838212509173939
2023,인천광역시 옹진군,66.1,13.1,29.4,7.5,126.0,29.8,32.0,7.2,20377.0,2,2,9.814987485890956
2023,인천광역시 중구,1006.1,258.1,289.1,80.3,1337.0,363.7,858.9,220.1,158958.0,10,9,5.661872947571056
2023,전라남도 강진군,68.2,15.6,46.6,12.1,74.8,18.5,34.4,8.3,32722.0,1,1,3.0560479188313674
2023,전라남도 고흥군,83.3,21.1,92.6,23.9,120.4,30.1,45.7,11.0,61113.0,3,3,4.908939178243582
2023,전라남도 곡성군,224.1,59.3,35.1,8.7,54.9,13.5,218.4,58.0,26905.0,3,1,3.7167812674224123
2023,전라남도 광양시,3845.0,917.2,236.1,66.0,312.2,82.7,3712.4,890.4,152666.0,40,37,24.235913693946262
2023,전라남도 구례군,30.5,8.5,33.7,8.4,66.5,16.2,12.1,3.3,24314.0,8,7,28.789997532285923
2023,전라남도 나주시,506.6,135.5,192.7,53.8,331.6,89.2,460.6,123.2,117377.0,5,5,4.259778321136168
2023,전라남도 담양군,211.9,53.4,55.8,14.3,126.0,32.1,194.1,48.7,45373.0,4,4,8.81581557313821
2023,전라남도 목포시,132.4,29.7,361.2,98.4,528.1,137.4,85.9,17.3,214156.0,12,11,5.136442593249781
2023,전라남도 무안군,105.7,26.2,145.3,41.5,220.2,56.3,58.2,14.4,90296.0,9,9,9.967218924426332
2023,전라남도 보성군,52.3,12.4,54.3,13.8,86.2,20.7,42.1,9.9,37686.0,3,3,7.960515841426525
2023,전라남도 순천시,1077.1,277.6,443.6,120.0,585.9,156.6,912.2,236.1,278137.0,32,32,11.505121576776911
2023,전라남도 신안군,33.1,8.9,41.0,10.2,88.7,21.5,21.4,5.8,38037.0,15,15,39.43528669453427
2023,전라남도 여수시,13550.5,3453.7,435.5,120.0,713.3,187.4,13044.5,3326.6,271696.0,42,39,14.35427831105353
2023,전라남도 영광군,341.7,78.3,72.5,18.6,113.2,27.4,87.2,21.1,51750.0,3,3,5.797101449275362
2023,전라남도 영암군,806.0,210.4,83.8,22.2,136.7,34.5,785.8,205.1,52350.0,8,6,11.461318051575931
2023,전라남도 완도군,49.2,13.6,67.6,17.4,110.7,27.6,28.3,7.8,46641.0,1,1,2.144036362856714
2023,전라남도 장성군,299.3,73.2,55.1,14.2,119.6,30.7,268.8,65.5,42543.0,3,3,7.051688879486638
2023,전라남도 장흥군,73.2,19.3,49.9,12.8,79.8,20.0,47.2,12.7,35046.0,1,1,2.8533926839011583
2023,전라남도 진도군,21.0,5.2,43.5,11.1,72.1,18.8,12.6,3.0,28979.0,4,4,13.80309879567963
2023,전라남도 함평군,102.7,24.4,39.0,10.0,63.2,15.6,90.2,21.1,30601.0,15,13,42.482271821182316
2023,전라남도 해남군,93.7,26.0,92.5,23.9,147.7,36.8,72.3,20.6,64575.0,10,8,12.388695315524584
2023,전라남도 화순군,128.1,33.1,86.8,22.8,166.4,43.7,113.5,29.3,61254.0,0,0,0.0
2023,전북특별자치도 고창군,114.1,30.3,73.4,18.7,121.2,30.1,87.5,23.2,51750.0,1,1,1.932367149758454
2023,전북특별자치도 군산시,4636.7,1112.6,422.0,112.6,670.9,173.6,4505.0,1081.3,259980.0,30,26,10.00076928994538
2023,전북특별자치도 김제시,546.4,137.9,107.8,28.2,188.1,47.7,521.0,131.6,81430.0,15,14,17.192680830160874
2023,전북특별자치도 남원시,187.4,46.5,111.4,28.8,177.9,43.7,148.2,37.0,76781.0,10,10,13.024055430379912
2023,전북특별자치도 무주군,33.1,8.2,32.7,8.1,92.1,19.0,24.4,6.2,23251.0,11,10,43.008902842888475
2023,전북특별자치도 부안군,123.8,33.6,67.7,17.7,148.2,37.9,93.7,25.9,49187.0,16,16,32.52892024315368
2023,전북특별자치도 순창군,87.0,22.4,35.7,9.2,53.3,13.2,78.7,20.3,26764.0,3,2,7.4727245553728885
2023,전북특별자치도 완주군,1156.7,306.0,144.3,38.9,270.4,71.5,1060.4,280.7,97827.0,12,12,12.26655217884633
2023,전북특별자치도 익산시,1759.5,451.2,413.7,111.7,560.0,145.5,1615.4,415.0,270036.0,28,27,9.998666844420745
2023,전북특별자치도 임실군,100.2,25.0,31.2,7.6,64.3,15.7,88.8,22.1,25956.0,8,8,30.821390044691018
2023,전북특별자치도 장수군,37.6,9.0,26.2,6.3,43.0,9.7,20.7,5.0,20983.0,4,4,19.063051041319163
2023,전북특별자치도 전주시,1754.0,449.0,1057.3,287.2,1430.4,383.8,1584.1,406.2,642727.0,47,44,6.845830344765351
2023,전북특별자치도 정읍시,956.2,248.6,153.9,40.3,219.8,55.7,861.2,225.5,103620.0,14,14,13.510905230650454
2023,전북특별자치도 진안군,38.0,9.5,30.8,7.5,51.7,11.8,23.4,5.8,24465.0,8,7,28.612303290414882
2023,제주특별자치도 서귀포시,193.1,50.1,295.1,84.4,851.2,235.7,61.8,15.0,183598.0,36,31,16.884715519776904
2023,제주특별자치도 제주시,494.7,130.0,768.1,217.0,1664.1,456.2,232.7,62.4,491654.0,62,55,11.186728878438903
2023,충청남도 계룡시,57.5,14.9,74.3,21.3,143.5,39.2,31.5,8.6,46667.0,6,6,12.857051021064137
2023,충청남도 공주시,478.3,126.0,153.8,40.4,296.3,72.8,411.3,109.1,102104.0,12,11,10.77332915458748
2023,충청남도 금산군,666.5,168.9,70.0,17.8,120.3,28.9,649.6,164.9,50093.0,2,2,3.9925738127083625
2023,충청남도 논산시,608.3,153.4,167.5,44.3,294.9,74.8,528.9,134.1,110423.0,12,12,10.867301196308741
2023,충청남도 당진시,6004.2,1433.0,298.4,82.5,399.0,101.7,5819.8,1391.6,170302.0,20,19,11.15665112564738
2023,충청남도 보령시,718.7,182.3,152.4,41.2,301.2,78.4,463.4,116.8,95772.0,6,6,6.264879087833605
2023,충청남도 부여군,147.6,38.3,89.2,22.9,123.2,31.0,117.8,29.4,61046.0,18,18,29.48596140615274
