"행정구역(동읍면)별","5세별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"광진구","25 - 29세","여자인구수[명]","명","19161","19110","19098","19159","18669","18716",
"광진구","30 - 34세","남자인구수[명]","명","14410","14653","15376","15846","16082","16504",
"광진구","30 - 34세","여자인구수[명]","명","14703","14830","15315","15701","16102","16809",
"광진구","35 - 39세","남자인구수[명]","명","13286","12504","11881","11577","11504","11748",
"광진구","35 - 39세","여자인구수[명]","명","13584","12728","12129","11819","11666","11764",
"광진구","40 - 44세","남자인구수[명]","명","12287","12266","12139","12133","11625","11318",
"광진구","40 - 44세","여자인구수[명]","명","12587","12585","12636","12788","12180","11881",
"광진구","45 - 49세","남자인구수[명]","명","13596","12594","12024","11440","11152","11185",
"광진구","45 - 49세","여자인구수[명]","명","14012","13025","12439","11742","11572","11663",
"광진구","50 - 54세","남자인구수[명]","명","13619","13759","13647","13360","12949","12340",
"광진구","50 - 54세","여자인구수[명]","명","14503","14630","14509","14232","13649","12964",
"광진구","55 - 59세","남자인구수[명]","명","12981","12604","12306","12484","12387","12452",
"광진구","55 - 59세","여자인구수[명]","명","13438","12808","12802","13080","13278","13319",
"광진구","60 - 64세","남자인구수[명]","명","11914","12142","12203","12093","11925","11541",
"광진구","60 - 64세","여자인구수[명]","명","13008","13284","13137","12937","12587","12160",
"광진구","65 - 69세","남자인구수[명]","명","8305","8850","9164","9672","10082","10459",
"광진구","65 - 69세","여자인구수[명]","명","9233","9876","10187","10834","11435","11689",
"광진구","70 - 74세","남자인구수[명]","명","5939","5699","5979","6130","6482","7041",
"광진구","70 - 74세","여자인구수[명]","명","6913","6762","7025","7152","7585","8381",
"광진구","75 - 79세","남자인구수[명]","명","4375","4330","4374","4610","4787","5029",
"광진구","75 - 79세","여자인구수[명]","명","5201","5142","5340","5679","5870","6127",
"광진구","80 - 84세","남자인구수[명]","명","2563","2777","3068","3157","3239","3265",
"광진구","80 - 84세","여자인구수[명]","명","3542","3726","4043","4205","4319","4377",
"광진구","85 - 89세","남자인구수[명]","명","903","1003","1123","1285","1478","1623",
"광진구","85 - 89세","여자인구수[명]","명","1842","1989","2091","2281","2433","2487",
"광진구","90 - 94세","남자인구수[명]","명","290","279","293","324","376","434",
"광진구","90 - 94세","여자인구수[명]","명","700","724","756","811","893","1035",
"광진구","95 - 99세","남자인구수[명]","명","71","58","61","66","77","74",
"광진구","95 - 99세","여자인구수[명]","명","216","185","191","212","231","253",
