연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름
2024,전라남도 완도군,49.9,13.7,70.3,17.7,116.9,28.9,28.9,8.1
2024,전라남도 장성군,239.9,59.4,56.3,14.2,127.5,33.2,210.1,51.8
2024,전라남도 장흥군,72.8,19.3,51.9,13.3,81.6,20.3,47.6,12.6
2024,전라남도 진도군,21.4,5.3,44.7,11.3,75.1,19.6,12.7,3.1
2024,전라남도 함평군,102.1,25.5,40.2,10.2,65.3,16.2,89.6,22.4
2024,전라남도 해남군,102.9,28.6,95.2,24.4,154.0,38.9,79.5,22.6
2024,전라남도 화순군,131.1,35.1,90.2,23.4,172.9,45.5,116.8,31.5
2024,전북특별자치도 고창군,112.7,30.3,75.5,19.1,126.3,32.1,85.7,23.3
2024,전북특별자치도 군산시,4848.2,1208.0,449.7,119.1,693.9,182.6,4708.8,1172.3
2024,전북특별자치도 김제시,529.1,134.5,112.4,29.3,197.0,50.8,503.6,127.9
2024,전북특별자치도 남원시,182.1,47.2,114.5,29.5,182.0,45.6,142.7,37.3
2024,전북특별자치도 무주군,33.8,8.7,33.5,8.3,94.5,19.3,24.6,6.5
2024,전북특별자치도 부안군,122.3,33.7,69.9,18.0,149.1,37.8,92.2,25.6
2024,전북특별자치도 순창군,80.4,20.6,36.9,9.4,55.5,13.9,72.5,18.7
2024,전북특별자치도 완주군,1190.0,319.0,156.3,41.7,277.5,74.1,1086.0,291.1
2024,전북특별자치도 익산시,1698.8,444.5,439.4,118.0,576.5,152.1,1559.2,409.8
2024,전북특별자치도 임실군,87.7,22.1,31.5,7.6,66.3,16.3,77.7,19.6
2024,전북특별자치도 장수군,36.8,8.8,25.8,6.1,46.3,11.0,20.0,4.8
2024,전북특별자치도 전주시,1686.5,428.7,1105.1,299.9,1468.5,397.9,1515.0,384.2
2024,전북특별자치도 정읍시,826.5,217.5,159.7,41.5,226.6,58.4,731.0,192.6
2024,전북특별자치도 진안군,38.9,9.6,30.6,7.3,53.3,12.2,23.8,5.9
2024,제주특별자치도 서귀포시,192.2,49.3,312.3,88.3,874.2,241.5,60.7,14.8
2024,제주특별자치도 제주시,493.2,129.4,818.0,234.0,1724.4,478.9,234.8,62.8
2024,충청남도 계룡시,60.9,15.9,79.0,22.4,151.9,41.9,34.4,9.2
2024,충청남도 공주시,468.5,122.8,159.7,41.8,304.6,75.5,397.6,104.9
2024,충청남도 금산군,663.4,165.2,72.4,18.5,122.9,30.3,646.4,161.1
2024,충청남도 논산시,600.0,155.8,172.7,45.3,302.2,77.4,524.8,137.1
2024,충청남도 당진시,5605.7,1449.5,322.6,90.7,412.9,105.9,5431.0,1411.5
2024,충청남도 보령시,769.5,179.9,157.4,42.5,309.5,80.9,474.2,117.0
2024,충청남도 부여군,136.9,33.1,91.3,23.1,126.6,32.0,112.9,27.5
2024,충청남도 서산시,8733.0,2250.1,314.5,85.3,491.6,126.9,8620.3,2221.5
2024,충청남도 서천군,717.1,180.0,75.3,19.3,128.0,32.5,665.2,170.2
2024,충청남도 아산시,11398.2,2949.3,640.3,176.7,765.7,199.7,11087.3,2869.1
2024,충청남도 예산군,816.5,201.1,134.0,35.9,205.5,50.4,771.2,190.1
2024,충청남도 천안시,5683.3,1488.0,1162.3,313.6,1632.9,429.9,5504.4,1442.5
2024,충청남도 청양군,134.4,33.3,40.7,10.0,63.5,14.7,122.4,30.3
2024,충청남도 태안군,447.5,106.6,90.2,22.9,246.9,63.5,20.4,5.5
2024,충청남도 홍성군,352.4,86.7,178.5,46.9,243.3,62.8,304.3,74.0
2024,충청북도 괴산군,241.7,59.8,53.5,13.3,118.2,30.4,227.8,56.4
2024,충청북도 단양군,1480.9,318.4,41.0,10.0,88.0,20.9,1450.1,310.7
2024,충청북도 보은군,171.6,42.8,46.9,11.7,82.1,19.5,156.8,39.2
2024,충청북도 영동군,160.7,38.2,65.2,16.2,96.1,23.4,135.5,32.2
2024,충청북도 옥천군,352.1,88.5,73.0,18.1,120.4,29.7,186.0,45.7
2024,충청북도 음성군,2555.7,652.4,165.6,43.7,362.0,90.4,2481.2,634.4
2024,충청북도 제천시,905.9,229.3,200.2,51.2,320.4,78.2,824.6,210.3
2024,충청북도 증평군,343.8,88.7,63.1,16.7,93.1,23.2,308.0,79.5
2024,충청북도 진천군,2430.0,641.6,157.2,42.2,323.7,84.1,2382.0,629.8
2024,충청북도 청주시,7925.2,1859.2,1480.1,406.1,2112.6,567.0,7389.1,1725.0
2024,충청북도 충주시,1646.1,421.9,355.9,95.0,572.8,145.5,1511.5,387.7
2025,강원특별자치도 강릉시,789.2,186.9,365.5,101.5,690.2,186.3,639.0,153.1
